code_UE;label;objectifs;contenu;volume_horaire;ects;semestre;niveau
XLG2MU050;Fonctions variable reelle et courbes parametrees;"Au terme de cette unité d'enseignement, l'étudiant(e) devra :
•
Savoir utiliser la définition quantifiée de limite pour une fonction numérique
•
Savoir utiliser les théorèmes des valeurs intermédiaires et des bornes atteintes pour prédire le comportement qualitatif d’une fonction continue
•
Savoir utiliser les théorèmes de Rolle et des accroissements finis pour étudier les variations d’une fonction dérivable
•
Calculer des développements limités et les utiliser pour étudier le comportement local ou asymptotique des fonctions numériques (position par rapport à la tangente, extrema locaux, asymptotes)
•
Savoir mener l’étude complète d’une courbe paramétrée plane en utilisant les développements limités pour prédire le comportement local ou asymptotique de la courbe.
L'étudiant(e) utilisera tout au long de cette unité les techniques de base du calcul algébrique ainsi que les principes de base du raisonnement pour résoudre les problèmes demandés.";"Programme : Le but de cette unité est de donner aux étudiant(e)s les outils de base de l'analyse : limites, dérivées, développements limités d'une fonction numérique
et d’utiliser ensuite ces outils dans un contexte géométrique (courbes paramétrées).
•
Fonctions d’une variable réelle :
Limites et continuité : définition de la limite avec les epsilons, propriétés algébriques usuelles des limites, continuité des fonctions, propriétés algébriques usuelles de la continuité, théorème des valeurs intermédiaires, théorème des bornes atteintes, théorème de la bijection continue.
Dérivabilité : définition et rappels des propriétés usuelles, théorèmes de Rolle et des accroissements finis. Applications.
Développements limités : définition, existence, unicité et propriétés algébriques usuelles, formule de Taylor. Applications au calcul des limites, à la recherche des extrema locaux et à la détermination de la position relative d'une courbe par rapport à son asymptote.
•
Courbes paramétrées :
Courbe paramétrée : définition et exemples.
Etude d’une courbe paramétrée : domaine d’étude, tableau de variation, étude des points stationnaires et des aymptotes, représentation.";54;;2;Licence
XLG2MU060;Algebre lineaire 1 et polynomes;"Au terme de cette unité d'enseignement, l'étudiant(e) devra :
•
Savoir résoudre un système linéaire par la méthode du pivot de Gauss
•
Savoir pratiquer les opérations matricielles usuelles (addition, multiplication, tranposition, inversion)
•
Savoir caractériser des sous-espaces vectoriels de R^n par la donnée d'une base ou d'équations
•
Savoir déterminer les caractéristiques d’une applications linéaire   (noyau, image et rang)
•
Déterminer la matrice d’une application linéaire dans une base donnée
•
Calculer des déterminants de matrices 2x2 et 3x3
•
Savoir trouver les racines d’un polynôme et décomposer le polynôme en produit de polynômes irréductibles .
L'étudiant(e) utilisera tout au long de cette unité les techniques de base du calcul algébrique ainsi que les principes de base du raisonnement pour résoudre les problèmes demandés.";"Programme : Le but de cette unité est d'initier les étudiants aux concepts de base de l'algèbre linéaire : espaces vectoriels, sous-espaces vectoriels, applications linéaires et matrices.
•
Résolution des systèmes linéaires par la méthode du pivot de Gauss.
•
Matrices : définition et calculs (somme, produit, transposition, trace, inversion, interprétation matricielle de la méthode du pivot de Gauss).
•
Espaces vectoriels et sous-espaces vectoriels: définition et exemples ; étude des sous-espaces vectoriels de R^n (présentation sous forme de vect, par système d'équations cartésiennes et passage d'une présentation à l'autre).
•
Base et dimension d’un espace vectoriel ou d’un sous-espace vectoriel, théorème sur la dimension d'une somme de sous-espaces vectoriels de R^n.
•
Applications linéaires, noyau, image, théorème du rang.
•
Représentation matricielle d'une application linéaire. Théorème du changement de base.
•
Déterminants des matrices 2x2 et 3x3.
•
Polynômes à coefficients réels et complexes :
Définition, divisibilité, division euclidienne ;
Racines et factorisations des polynômes : théorème de d'Alembert-Gauss, racines multiples, polynômes irréductibles sur R et C et factorisation des polynômes en produit de polynômes irréductibles.";54;1;2;Licence
XLG2IU010;Algorithmique et developpement;;;80;50;2;Licence
XLG2IE011;Algorithmique;;;40;;;
XLG2IE012;Developpement logiciel;;;40;;;
XLG2IU030;Fonctionnement des ordinateurs;;;40;;2;Licence
XLG2IU040;Bases theoriques de l'informatique;;;40;;2;Licence
XLG2HU070;HST : Hist. des classif. & théories de l’évolution;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"- Histoire des méthodes de classifications et conceptions sur les êtres vivants de l’antiquité au XVIIIe siècle (Linné et Buffon).
- Histoires des théories de l’évolution : Lamarck, Darwin, théorie synthétique… Le cours traite des aspects conceptuels et des implications sociales.";20;;2;Licence
XLG2HU030;HST : Savoir-faire et innovation;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"Cette UE a pour objectif de montrer, sur la longue durée de l’histoire, la complexité des processus à l’œuvre dans les savoir-faire et les innovations techniques.
Les thèmes choisis, pour illustrer ces différents processus, seront mis en perspective dans le contexte de l’époque où les acteurs (savants ou ingénieurs) et les institutions jouent un rôle majeur. Ils mettront également en relief l’évolution des interactions entre sciences et techniques au cours  de l’histoire, en insistant aussi sur les notions d’usage.";20;;2;Licence
XLG2HU020;HST : Matière et énergie;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"Cette unité d’enseignement envisage l’histoire des sciences de la nature en Occident à partir des relations entre matière et énergie. Elle analyse l’histoire des sciences et des techniques sur le   temps long comme la succession de régimes de pensée changeants suivant les époques et les sociétés concernées. Chaque régime, depuis l’Antiquité grecque jusqu’à nos jours, emprunte aux régimes antérieurs de rationalité tout en les modifiant. Seront ainsi abordées et comparées diverses rationalités scientifiques de la matière : atomisme des Grecs, transmutations alchimiques, scolastique médiévale, sciences expérimentales à l’époque moderne, conceptions de la matière pour les naturalistes du XIXe siècle. Plusieurs séances développeront des aspects appliqués des ""techno- sciences"" à travers les techniques de l’énergie : machines à vapeur et révolution industrielle au   XIXe siècle, bombe atomique et énergie solaire au XXe siècle. La question du changement  climatique conclura l'enseignement en évoquant un problème de société actuel.";20;;2;Licence
XLG2HU060;HST : Histoire des mathématiques;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"Ce cours d’histoire des sciences et des techniques est une initiation à l’histoire des mathématiques sur le temps long, où les thématiques suivantes seront étudiées :
- Pratiques « rationnelles » dans l’Antiquité : résolution de problèmes, démonstration et algorithmes
- Numération et arithmétique de l’Antiquité au XIXe siècle
- De la résolution de problèmes aux équations : quelques éléments d’histoire de l’algèbre
- Mathématiques et société à la Renaissance : marchands, artistes et ingénieurs
- « Révolution scientifique » et essor des sciences « modernes »
- Probabilités et statistiques aux époques modernes et contemporaines : sciences de l’état, lois de la nature et lois de la société
- Une histoire de la cryptologie, du Moyen Âge au XXe siècle
Ces différents exemples permettront d’étudier la conception et la transformation des mathématiques et de leurs objets dans différentes cultures et périodes historiques, ainsi que leur place dans la société.";20;;2;Licence
XLG2HU010;HST : Histoire des algorithmes;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"Les algorithmes, vus comme des combinaisons structurées d’opérations élémentaires, ont existé dans toutes les cultures et dans différents domaines de savoirs. Ce cours abordera l’histoire des algorithmes sur le temps long. Des éléments sur la question de l’automatisation du calcul, sur des projets de machines (chez Leibniz et Babbage par exemple) jusqu’à l’avènement de l’ordinateur seront également apportés. Cela permettra également de réfléchir sur la place des sciences et des techniques dans la société.
Histoire des algorithmes sur le temps long où sont abordées les thématiques suivantes :
• Des algorithmes dans l’Antiquité ? Les cas de la Mésopotamie, l’Égypte et la Grèce
• Algorithmes et mathématiques arabes
• Algorithmes de calcul et numération du Moyen Âge au XIXe s.
• Mécanisation du calcul du XVIIe s. au XIXe s.
• Vers le concept d’algorithme
• Des machines analytiques aux ordinateurs
• Une histoire de la cryptologie du Moyen Âge au XXe s.";20;;2;Licence
XLG2HU040;HST : Styles de raisonnement scientifiques;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"- Histoire et philosophie des styles de raisonnement scientifiques.
- Philosophie des sciences exactes.
Le cours présente l'émergence des cadres d'objectivité, dont le calcul
des probabilités, la modélisation et l'expérience, de l'Antiquité à nos jours.";20;;2;Licence
XLG2AU050;1st year English S2;;;16;0;2;Licence
XLG2AE054;1st year English S2;;;16;;;
XLG2AE052;1st year English: intermediate S2;;;0;;;
XLG2AE051;1st year English: Lower Intermediate S2;;;0;;;
XLG2AE053;1st year English: Upper Intermediate S2;;;0;;;
XLG2TU090;Méthodologie et insertion professionnelle S2;"A l'issu du cours, l'étudiant sera capable :
- de développer et utiliser des méthodes d'apprentissage : techniques de prises de notes et de mémorisation, de gestion du temps (et du stress), prise de parole et éloquence
- d'utiliser des outils numériques de communication de l'université : messagerie, enseignement en distanciel, portfolio
- d'utiliser les outils de la bibliothèque universitaire et d'en comprendre les apports et le fonctionnement
- de comprendre le fonctionnement cérébral et les types de mémoire pour les exploiter au mieux
- de collaborer dans le cadre d'un projet simple en communiquant avec ses collaborateurs
- d'expliquer ses principaux points forts et points de vigilance
- de réaliser une première version de Curriculum Vitae pour chercher un job étudiant ou un premier stage";"Les différentes séances se déroulent comme suit sur les deux semestres : Sur le premier semestre :
-   3CM sur le fonctionnement cérébral et la mérmoire
- 6 TD :
- outils numériques
- prise et reprise de notes
- prise de parole et éloquence
- la gestion du temps (et du stress)
- le travail de groupe et le travail en équipe
- serious game à la BU
sur le second semestre, 3 TD :
- identifier ses préférences de fonctionnement avec ses compétences et points de vigilance
- se projeter en prenant en compte ce que l'étudiant apprécie, sait faire et veut faire/vivre
- réaliser un CV complet et identifier les éléments constitutifs indispensables";4;;2;Licence
XLG2TU060;Stage libre;;;0;;2;Licence
