code_UE;label;objectifs;contenu;volume_horaire;ects;semestre;niveau
XLG4IU010;Algorithmique et Structures de données 2;"Comprendre les notions de structures de données abstraites et concrètes
Savoir utiliser et implémenter les structures de données linéaires classiques (liste, pile, file) Être capable de choisir une structure de données linéaire classique adaptée à un problème Être capable de concevoir et d'implémenter une structure de données linéaire ad-hoc pour un problème
Connaître les algorithmes classiques de parcours, recherche et tri sur différentes structures de données (itératifs et récursifs)
Savoir utiliser et implémenter les structures non-linéaires associatives simples (table associative, ensembles, structures classe-union par tableau)
Etudier, compléter, utiliser une spécification formelle d’une structure de données ou d’une fonction Étudier de premières structures arborescentes en lien avec des implémentations linéaires (tas, classe-union)";"Structures de données abstraites / concrètes Structures de données linéaires (listes, piles, files)
Structures de données non-linéaires associatives (table associative, ensemble, classe-union) Structures arborescentes en lien avec des implémentations linéaires (file avec priorité, tas, classe- union)";40;2;4;Licence
XLG4IU020;Langages et automates;"À la fin de ce cours, un étudiant doit être capable de :
1.
Utiliser les logiciels flex et bison 2.
Écrire une expression rationnelle 3.
Résoudre un système d'équations linéaires à droite 4.
Déterminer si un mot donné est reconnu par un automate fini ou un automate à pile 5.
Déterminer la classe d'une grammaire formelle dans la hiérarchie de Chomsky 6.
Savoir si un mot est engendré par une grammaire rationnelle, algébrique ou contextuelle 7.
Minimaliser et déterminiser un automate fini 8.
Transformer une grammaire rationnelle en une expression rationnelle ou en un automate fini et inversement";"• Monoïde des mots
• Langages rationnels
- Expressions régulières
- Automate fini
- Langage reconnu par un automate fini
- Déterminisation et minimisation d'un automate fini
- Lemme d’Arden
- Lemme de l’Étoile
• Langages algébriques
- Grammaire algébrique
- Arbre de dérivation
- Automates à pile
• Hiérarchie de Chomsky
- Classification des grammaires;
- Algorithmes de reconnaissance pour les grammaires de type 1 et 2
• Analyse lexicale et syntaxique
- TP de flex et bison";40;;4;Licence
XLG4IU030;Systèmes d'exploitation;"A l'issue de ce cours, l'étudiant doit:
• Connaître parfaitement les concepts de base d'un système d'exploitation, leur principe de fonctionnement et leur organisation d'ensemble (Maîtrise)
• Maîtriser les notions de processus et threads (Application)
• Comprendre les enjeux liés à la programmation concurrente : mécanismes de base pour la synchronisation/communication (Application)
• Etre capable d'utiliser les mécanismes de synchronisation usuels sous Linux (sémaphores, mutexes, signaux) (Application)
• Comprendre le principe de mémoire virtuelle (Initiation)
• Savoir gérer les entrées/sorties sous Linux (Initiation)";Ce module présente les éléments fondamentaux qui composent un système d'exploitation (processus, entrées/sorties, mémoire, fichiers, etc.). Les problématiques de gestion de ces éléments par le système d'exploitation y sont exposées : comment les processus se partagent-ils l'accès au processeur ? Comment se synchronisent-ils et quels mécanismes leur permettent d'échanger des données ? Comment sont gérés la mémoire et les entrées/sorties ?;40;;4;Licence
XLG4IU040;Bases de données;;"- Introduction à la modélisation Merise
- Modèle relationnel
- Algèbre relationnelle et SQL
- Passage au relationnel
- Définition et interrogation d'une base en sql
- Introduction au modèle olap";36;;4;Licence
XLG4TU020;Unité Enseignement de Découverte;;;16;0;4;Licence
XLG4TE020;UED;;;16;;;
XLG4TE101;Sport;"Développer chez les étudiants (tes), au travers l’acquisition de compétences individuelles et collectives dans différentes activités sportives, leur capacité d’investissement et de progrès, leur capacité de travail en équipe. Les amener à prendre conscience de la nécessité de santé et de bien être au travers de pratiques sportives.
Domaine de compétences identifiables par des industriels : Travail d’équipe, prise de responsabilité, tolérance, respect des règles, assiduité.";8 séances de 2h. 8 activités proposées : Aviron, Badminton, Boxe française, Condition Physique, Escalade, Self défense, Volleyball,   VTT;0;;;
XLG4TE102;Danse et maths;Capacité à utiliser les mathématiques hors du cadre académique. Créativité et   expression corporelle.;"Notre but, créer un lien entre deux mondes assez hermétiques l’un à l’autre d’habitude.  L’un des thèmes retenu pour orienter les travaux du groupe: comment la création nait de la contrainte (se fixer des règles précises n’empêche pas de voir surgir l’inattendu). Ou encore comment la contrainte peut être (ou même est) la source de la créativité.
Une autre piste d’interaction : Rythme et quasi-périodicité deux façons différentes de parler de la même chose.
L’idée est de rendre tout cela perceptible avec des mises en situation très concrètes et ludiques à base de mouvements simples (pas besoin d’être danseur!).
Concrètement, l’UED se déroulera sous la forme de quatre ateliers de 4h encadrés par A. Arbeit et B. Grébert.
Cette UED s’insère dans un projet plus général soutenu par la DCI (direction de la culture et des initiatives de Nantes Université), la MMO (Maison des Mathématiques de l’Ouest), le TU (Théatre Universitaire) et de la DRAC (Direction Régionale des Affaires Culturelles).";0;;;
XLG4TE103;L'environnement est ma santé;"Au terme de cette UE, l’étudiant(e) sera capable :
•
d’identifier et d’expliquer l’interconnexion entre la santé humaine, animale et les facteurs environnementaux,
•
de développer une compréhension approfondie des problèmes environnementaux contemporains et de leurs impacts sur la santé humaine,
•
d’intégrer des notions issues de différents champs disciplinaires au service d’un objectif, la santé humaine,
•
d’identifier et d’évaluer les risques environnementaux pour prévenir les maladies et préserver son capital santé et celui de sa communauté,
•
de mener des recherches bibliographiques sur les liens entre environnement et effets sur la santé, d’analyser des données de la littérature et de proposer des conclusions réfléchies,
•
d’imaginer des stratégies d'atténuation des risques environnementaux pour la prévention de la santé humaine et animale,
•
de travailler en équipe afin de produire un support de diffusion scientifique de vulgarisation auprès d’une large communauté (article de presse, vidéo, affiche de sensibilisation/prévention, flyer etc…) en analysant et en citant les sources.";"12h de CM – autour des thématiques très actuelles suivante :
•
Le concept « one health », une seule santé
•
Les 1000 premiers jours de la vie
•
Microbiotes et santé
•
Chrononutrition et jeûne intermittent
•
Quand le cœur lâche
•
Dopage, sports extrêmes et risques en santé
•
Intelligence artificielle et santé du futur
•
Effets de l’environnement sur l’homme et la femme -
•
Perturbateurs endocriniens et fertilité
4h de TP – activités de vulgarisation scientifique au choix :
A partir de l’analyse critique de documents, de recherches bibliographiques, un travail de groupe sera demandé afin de créer un support médiatique tel que :
•
Un article de vulgarisation scientifique autour d’un sujet choisi (publication dans un média local),
•
Une affiche ou poster de prévention et/ou de sensibilisation sur un facteur de risque environnemental pour la santé
•
Une capsule vidéo de présentation/prévention d’un risque environnemental pour la santé";0;;;
XLG4TE104;Science, culture, société;"Développer les méthodes d’analyse qui permettent de comprendre le rôle des sciences et des techniques dans la construction de l’image du monde à l’époque contemporaine (XXe-XXIe siècle).
Domaine de compétences identifiables par des industriels : Analyse critique de documents";Paradigmes scientifiques et images du monde. La TSF et ses techniques. L’émergence de la relativité. Einstein et la relativité générale. L’âge des machines : Taylorisme, Fordisme. Les  critiques de la société technologique. La mécanique quantique. La radiodiffusion. La science à grande échelle. Les techniques de la 2de guerre mondiale. La conquête spatiale et la Guerre Froide. La théorie des jeux et les modèles de la rationalité. La maîtrise des systèmes complexes. Les sciences du climat et le rechauffement climatique anthropogène.;0;;;
XLG4TE105;Techniques d’imagerie de l’infiniment petit;;"1. Ordres de grandeurs de la matière
2. Les divers rayonnements, domaines d’énergie et interactions avec la matière
3. Pourquoi regarder l’infiniment petit ? Que peut-on imager ? Quelles informations peut-on obtenir ?
4. Microscopies optiques
5. Microscopies électroniques (MEB, MET, tomographie et analyses EDX, EELS)
6. Microscopies en champ proche (AFM)
7. Préparation des échantillons pour l’observation
8. Stockage et traitement informatique des données";0;;;
XLG4TE106;Présentation de l'UFR Sciences et Techniques;"Permettre aux étudiants de participer aux actions de présentation de l’UFR sciences à destination des lycéens : séance de présentation de leur parcours post bac dans un lycée, Université à l’Essai, forums, JPO, …
Domaine de compétences identifiables par des industriels : communication Prise de parole en public
Construction d’un diaporama en groupe";"Formation à la construction d’un bilan personnel de formation initiale Formation à l’élaboration d’un diaporama de présentation collectif
Formation à la prise de parole en groupe et à l’animation d’une séance de présentation dans les lycées.";0;;;
XLG4TE107;Publication scientifique et mécaniques du livre;;;0;;;
XLG4TE108;Controverses scient. et techniques dans l’histoire;"Initiation aux méthodes de l’histoire des sciences
Réflexion sur les sciences, leurs méthodes et leur place de la société Domaine de compétences identifiables par des industriels :
Analyse critique de documents";"Cette unité d’enseignement est centrée sur l’étude de controverses scientifiques et techniques. L’analyse des controverses est en effet un objet privilégié de l’histoire des sciences depuis les années 1980, leur étude étant vue comme une possibilité de saisir les processus de fabrication des sciences et des techniques. Elle permet d’historiciser des notions comme celles de progrès, de vérité, de preuve ou encore de rigueur et de révéler des acteurs, des arguments, des processus qui demeurent dissimulés dans les énoncés finaux. Voici quelques exemples qui pourront être analysés au cours de cet enseignement :
-   Controverses énergétiques au cours de l’histoire □
-   La formation des chaînes de montagne de l’Antiquité au XXe siècle □
-   Controverses autour de questions de nombres au XVIIe siècle
□- Inoculation et vaccination aux XVIIIe et XIXe siècles";0;;;
XLG4TE109;Noyaux, particules & interactions fondamentales;Dans cette UE, l’objectif est d’aborder des premières connaissances du monde subatomique : les noyaux, les particules élémentaires, les interactions fondamentales. On en profitera pour présenter l’actualité des recherches dans le domaine subatomique.;"Modèle Standard et constituants élémentaires, Noyaux, Interactions fondamentales Désintégrations nucléaires (alpha, cluster, 2p), modèle de la goutte liquide Barrières de potentiel, Fusion, fission, noyaux superlourds
Radioactivités et neutrinos Oscillation de neutrinos Plasma de quarks et de gluons
Physique médicale, Cyclotron Arronax Energie nucléaire, réacteurs";0;;;
XLG4TE110;Découverte de l'école primaire;"A l’issue de cet enseignement, l’étudiant sera capable :
- d’appréhender la différence entre faire apprendre et enseigner
- de commencer à analyser une situation   de classe en tenant compte des apports de la recherche en didactique et du cadre institutionnel.";"Programme - Contenu de l'UE :
découverte de la spécificité de l’école primaire de la maternelle au cycle 3 initiation à la didactique des mathématiques
initiation à la didactique du français (dire lire écrire du Cycle 1 au Cycle 3) initiation aux théories de l’enseignement apprentissage
analyse de situations d’enseignement apprentissage";0;;;
XLG4TE111;Rédaction de doc. scientifiques avec LaTex;"Apprendre à maitriser LaTeX afin d’être plus efficace lors de la rédaction de rapports scientifiques. Domaine de compétences identifiables par des industriels :
Conception de documents scientifiques de bonne qualité avec LaTeX, pour donner des documents pdf imprimables ou visualisables en ligne .";"Les logiciels de traitement de texte grand public présentent des défauts dès qu’on souhaite écrire des documents avec des formules scientifiques dans une présentation cohérente et esthétique. Le logiciel LaTeX remédie à ces problèmes mais sa prise en main semble un peu moins intuitive. Le but de cette UED sera d’apprendre à le connaître et l’utiliser pour concevoir des documents de  meilleure qualité et avec plus d’efficacité.
On étudiera notamment, la mise en forme d’équations mathématiques, formules scientifiques et tableaux, la numérotation automatique et le référençage des paragraphes, formules, figures, tableaux, la bibliographie.";0;;;
XLG4TE112;Médiation scientifique : créez votre exposition !;L’objectif de l’UE est de réaliser en groupe une exposition qui sera par la suite déployée dans des collèges. Le thème sera choisi collectivement parmi 2 ou 3 propositions. Les étudiants devront réaliser le dimensionnement de l’exposition (nombre de panneaux), trouver l’infographie, rédiger les textes ainsi qu’utiliser éventuellement d’autres supports (videos, interviews de chercheurs etc.) en fonction de leurs idées. Ils seront accompagnés par une chargée de communication, une enseignante-chercheuse et une infographiste.;"Une fois le thème de l’exposition choisi, un travail collectif sera mené sur le dimensionnement de l’exposition (choix des supports, des sous thèmes) ainsi que sur le choix de l’unité graphique.
Des binômes d’étudiants seront réalisés pour travailler sur chaque sous-thème. Les séances de CI permettront d’acquérir les notions de médiation scientifique, de recherche bibliographique, de référencement des sources, ainsi que des bases d’infographie.
Les étudiants seront accompagnés pour présenter les notions scientifiques de façon ludique ou imagée.";0;;;
XLG4TE113;Radioactivité : Santé - Industrie - Environnement;"Avec l’apparition de nouvelles techniques, l’utilisation de la radioactivité (naturelle ou artificielle) ne cesse de s’intensifier. Cette Unité de Découverte a pour but de faire découvrir les applications des rayonnements ionisants X, g, a, b et neutrons en médecine nucléaire, en industrie et dans l’environnement.   Les bases de la radioprotection sont abordées.
Domaine de compétences identifiables par des industriels :
·            Découvrir les applications de la radioactivité naturelle et artificielle dans le domaine de la santé, dans l’industrie et dans l’environnement.
·            Travailler en équipe.
Cette UED peut constituer une première étape dans la formation aux métiers en lien avec les rayonnements ionisants.";"Domaine médical et de santé :
Diagnostic, thérapie, scanner X, traceurs radioactifs, scintigraphie, tomographie par émission de positon (TEP), …
Domaine industriel :
Analyseur d’alliages par fluorescence X, PIXE et PIGE, détecteur de plomb dans les peintures, mesure d’humidité, mesure de densité des sols, contrôle des conduite enterrés, radiographie des pièces de fonderie ou de soudure, …
Dans l’environnement :
-          Applications des traceurs pour l’étude de l’environnement
• La datation au carbone 14
• Suivre un sédiment ou un polluant dans l’environnement
• ....
Radioprotection :
Dose absorbée, dose équivalente, dose efficace, principe d’ALARA, risques sanitaires";0;;;
XLG4TE114;Des anticancéreux aux revêtements antiadhésifs : le fruit de l'observation;"Domaine de compétences identifiables par des industriels :
« Le hasard ne favorise que les esprits préparés » comme l’a écrit Pasteur. Pour illustrer ce propos, des exemples représentatifs seront passés en revue : la pénicilline, le taxol, l’aspirine, le téflon, les insecticides « verts » de type pyréthroïde, des édulcorants comme la saccharine et l’aspartame, la quinine, les polymères comme la bakélite, le nylon et plus récemment le kevlar, etc… et même le viagra !";Montrer comment des produits de la vie de tous les jours ont été découverts à travers des observations fortuites. L’objectif de ce cours est, avec des exemples (taxol (anticancéreux), téflon (matériaux antiadhésifs)), de détailler la démarche scientifique qui a permis à   partir d’une observation, le développement industriel.;0;;;
XLG4TE115;Les espèces végétales exotiques invasives;Clefs de compréhension des interactions homme/plantes au cours des temps historiques;"Historiographie & ethnobotanique Mécanismes d’introduction des végétaux
Conséquences et enjeux écologiques ou sociétaux";0;;;
XLG4TU010;Methodologie et insertion professionnelle S4;;;10;1;4;Licence
XLG4TE011;Methodologie et insertion professionnelle : PPE 1;"A l'issu du cours, l'étudiant sera capable :
- d'identifier ses caractéristiques personnelles, ses valeurs et ses compétences (disciplinaires et soft skills)
- de présenter son projet professionnel et personnel en argumentant de ses atouts (savoir, savoir- faire et savoir-être) et d'un plan d'actions sur les prochaines années : à l'écrit et à l'oral
- d'identitier et d'animer son réseau (professionnel et élargi)
- de créer et de faire vivre ses profils numériques professionnels
- de mener une enquête métier auprès d'un professionnel et de la restituer";"Les différentes séances se déroulent comme suit sur les deux semestres : Sur le premier semestre :
- 3 TD :
- créer et animer son profil numérique professionnel
- préparation à l'enquête métier (identifier son réseau, utiliser des outils de réseaux numériques professionnels, l'interview et les questions liées)
- présentation orale de la restitution de l'enquête et des recherches sur le métier
- équivalent de 8 TD + présentation orale des enquêtes:
- identication de ses valeurs
- indentification de ses compétences
- consrtruction de son projet professionnel et personnel
- présentation de son projet";10;;;
XLG4TE012;Methodologie et insertion professionnelle : PPE 2;"A l'issu du cours, l'étudiant sera capable :
- d'identifier ses caractéristiques personnelles, ses valeurs et ses compétences (disciplinaires et soft skills)
- de présenter son projet professionnel et personnel en argumentant de ses atouts (savoir, savoir- faire et savoir-être) et d'un plan d'actions sur les prochaines années : à l'écrit et à l'oral
- d'identitier et d'animer son réseau (professionnel et élargi)
- de créer et de faire vivre ses profils numériques professionnels
- de mener une enquête métier auprès d'un professionnel et de la restituer";"Les différentes séances se déroulent comme suit sur les deux semestres : Sur le premier semestre :
- 3 TD :
- créer et animer son profil numérique professionnel
- préparation à l'enquête métier (identifier son réseau, utiliser des outils de réseaux numériques professionnels, l'interview et les questions liées)
- présentation orale de la restitution de l'enquête et des recherches sur le métier
- équivalent de 8 TD + présentation orale des enquêtes:
- identication de ses valeurs
- indentification de ses compétences
- consrtruction de son projet professionnel et personnel
- présentation de son projet";0;;;
XLG4AU010;2nd year English S4;;;16;;4;Licence
XLG4TU030;Stage libre;;;0;;4;Licence
