code_UE;label;objectifs;contenu;volume_horaire;ects;semestre;niveau
XLG2MU040;Mathématiques générales pour l'informatique 2;"• Consolider l’usage des outils mathématiques fondamen-
• Identifier des méthodes mathématiques pour la résolution de problèmes en in- formatique
• Développer une approche informatique pour analyser un problème mathématique";"• Intégration.
• Séries. Applications : calcul des fonctions classiques, espérance d’une loi de prob- bilité.
• Développements limités.
• Fonctions de plusieurs variables. Application : surfaces, robotique.
• Géométrie dans le plan et l’espace. Application : manipulation d’images.
• Statistique élémentaire. Nuages de points, régression linéaire.";40;2;2;Licence
XLG2HU010;HST : Histoire des algorithmes;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"Les algorithmes, vus comme des combinaisons structurées d’opérations élémentaires, ont existé dans toutes les cultures et dans différents domaines de savoirs. Ce cours abordera l’histoire des algorithmes sur le temps long. Des éléments sur la question de l’automatisation du calcul, sur des projets de machines (chez Leibniz et Babbage par exemple) jusqu’à l’avènement de l’ordinateur seront également apportés. Cela permettra également de réfléchir sur la place des sciences et des techniques dans la société.
Histoire des algorithmes sur le temps long où sont abordées les thématiques suivantes :
• Des algorithmes dans l’Antiquité ? Les cas de la Mésopotamie, l’Égypte et la Grèce
• Algorithmes et mathématiques arabes
• Algorithmes de calcul et numération du Moyen Âge au XIXe s.
• Mécanisation du calcul du XVIIe s. au XIXe s.
• Vers le concept d’algorithme
• Des machines analytiques aux ordinateurs
• Une histoire de la cryptologie du Moyen Âge au XXe s.";20;;2;Licence
XLG2HU020;HST : Matière et énergie;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"Cette unité d’enseignement envisage l’histoire des sciences de la nature en Occident à partir des relations entre matière et énergie. Elle analyse l’histoire des sciences et des techniques sur le   temps long comme la succession de régimes de pensée changeants suivant les époques et les sociétés concernées. Chaque régime, depuis l’Antiquité grecque jusqu’à nos jours, emprunte aux régimes antérieurs de rationalité tout en les modifiant. Seront ainsi abordées et comparées diverses rationalités scientifiques de la matière : atomisme des Grecs, transmutations alchimiques, scolastique médiévale, sciences expérimentales à l’époque moderne, conceptions de la matière pour les naturalistes du XIXe siècle. Plusieurs séances développeront des aspects appliqués des ""techno- sciences"" à travers les techniques de l’énergie : machines à vapeur et révolution industrielle au   XIXe siècle, bombe atomique et énergie solaire au XXe siècle. La question du changement  climatique conclura l'enseignement en évoquant un problème de société actuel.";20;;2;Licence
XLG2HU030;HST : Savoir-faire et innovation;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"Cette UE a pour objectif de montrer, sur la longue durée de l’histoire, la complexité des processus à l’œuvre dans les savoir-faire et les innovations techniques.
Les thèmes choisis, pour illustrer ces différents processus, seront mis en perspective dans le contexte de l’époque où les acteurs (savants ou ingénieurs) et les institutions jouent un rôle majeur. Ils mettront également en relief l’évolution des interactions entre sciences et techniques au cours  de l’histoire, en insistant aussi sur les notions d’usage.";20;;2;Licence
XLG2HU040;HST : Styles de raisonnement scientifiques;"- Maîtriser des savoirs disciplinaires et interdisciplinaires complexes
• Épistémologie, histoire des sciences et des techniques : réflexion épistémologique et historique sur des notions scientifiques enseignées
• Introduction aux sciences humaines et sociales
- Être autonome dans les apprentissages dans des contextes diversifiés
- Communiquer de façon claire, précise, ouverte et efficace, à l’écrit
- Être actif face aux changements et agir en acteur socialement responsable
• Réfléchir à la fiabilité des sources d'information et à la diversité des interprétations possibles d'une même source en fonction du contexte
• Comprendre l'historicité des objets et concepts, appréhender les changements des sociétés humaines et, par conséquence, s'y adapter
• Analyser les paradigmes scientifiques et systèmes de pensée et saisir leur relation aux contextes sociaux, culturels et temporels de leur production";"- Histoire et philosophie des styles de raisonnement scientifiques.
- Philosophie des sciences exactes.
Le cours présente l'émergence des cadres d'objectivité, dont le calcul
des probabilités, la modélisation et l'expérience, de l'Antiquité à nos jours.";20;;2;Licence
XLG2AU050;1st year English S2;;;16;0;2;Licence
XLG2AE054;1st year English S2;;;16;;;
XLG2AE052;1st year English: intermediate S2;;;0;;;
XLG2AE051;1st year English: Lower Intermediate S2;;;0;;;
XLG2AE053;1st year English: Upper Intermediate S2;;;0;;;
XLG2TU090;Méthodologie et insertion professionnelle S2;"A l'issu du cours, l'étudiant sera capable :
- de développer et utiliser des méthodes d'apprentissage : techniques de prises de notes et de mémorisation, de gestion du temps (et du stress), prise de parole et éloquence
- d'utiliser des outils numériques de communication de l'université : messagerie, enseignement en distanciel, portfolio
- d'utiliser les outils de la bibliothèque universitaire et d'en comprendre les apports et le fonctionnement
- de comprendre le fonctionnement cérébral et les types de mémoire pour les exploiter au mieux
- de collaborer dans le cadre d'un projet simple en communiquant avec ses collaborateurs
- d'expliquer ses principaux points forts et points de vigilance
- de réaliser une première version de Curriculum Vitae pour chercher un job étudiant ou un premier stage";"Les différentes séances se déroulent comme suit sur les deux semestres : Sur le premier semestre :
-   3CM sur le fonctionnement cérébral et la mérmoire
- 6 TD :
- outils numériques
- prise et reprise de notes
- prise de parole et éloquence
- la gestion du temps (et du stress)
- le travail de groupe et le travail en équipe
- serious game à la BU
sur le second semestre, 3 TD :
- identifier ses préférences de fonctionnement avec ses compétences et points de vigilance
- se projeter en prenant en compte ce que l'étudiant apprécie, sait faire et veut faire/vivre
- réaliser un CV complet et identifier les éléments constitutifs indispensables";4;;2;Licence
XLG2TU060;Stage libre;;;0;;2;Licence
