Description des UE;Unnamed: 1
Obtention de l’UE;La note de contrôle continu peut contenir éventuellement une composante distancielle.
Programme;
Objectifs (résultats d'apprentissage);"A l'issue du module, l'étudiant sera initié à
- Savoir choisir choisir des techniques de réduction adaptées aux propriétés à préserver
- Savoir classer des problèmes de décision
- Savoir choisir les types vérifications à réaliser en fonction des programmes Il saura appliquer les concepts suivants:
- Être capable d'écrire formellement des réductions, simples, de NP-complétude
- Savoir choisir des propriétés à vérifier pour prouver un algorithme et pour établir sa complexité temporelle
- Savoir écrire, pour des algorithmes simples, des preuves de correction et des preuves de complexité temporelle
- Être capable de travailler en groupe"
Contenu;"Analyse de problèmes de décision : présentation des notions de décidabilité, introduction des classes de complexité P, NP et Pspace. Présentation la Karp-réduction et de problèmes NP-Dur et NP-Complets.
Vérification de programme
• Vérification dynamiques : aléatoire ; fonctionnelle ; structurelle
• Vérification statique : informelle ; formelle (Hoare et Dijkstra) : correction, terminaison. Preuve et analyse en complexité temporelle de programmes itératifs et récursifs"
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
X31I020;Algorithmique et Structures de données 3
Lieu d’enseignement;Lombarderie
Niveau;Licence
Semestre;5
Responsable de l’UE;RUSU Irena
Volume horaire total;TOTAL : 46.2h Répartition : CM : 14h TD : 16h CI : 0h TP : 12h EAD : 4.2h
Place de l’enseignement;
UE pré-requise(s);"• Algorithmique et structures de données 2 (913 17 LG 4 INF UE 1161)
• Logique pour l'informatique (913 17 LG 4 INF UE 819)"
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Maths : Maths / mineure CMI Ingéniérie Statistique _ CMI- IS,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Algorithmique et Structures de données 3 100%
Obtention de l’UE;La note de contrôle continu peut contenir une ou plusieurs composantes pratiques et éventuellement une composante distancielle.
Programme;
Objectifs (résultats d'apprentissage);"A l’issue de cette UE, l’étudiant saura :
•
définir une structure de données arborescente ou de type graphe en décrivant ses propriétés (Connaissance) ;
•
concevoir des structures de données arborescentes ou de type graphe au moyen de structures linéaires et associatives (Analyse) ;
•
implémenter des algorithmes de parcours et de manipulation d’arbres (Application) ;
•
résoudre des problèmes simples de la théorie des graphes en employant une approche gloutonne lorsqu’elle est appropriée (Analyse) ;
•
calculer la complexité d'un algorithme en fonction des structures de données choisies (Synthèse) ;
• choisir la structure de données la plus efficace pour la résolution d'un problème (Synthèse) ;"
Contenu;"Programme :
Ce module présente les structures de données   arborescentes fondamentales pour la mise en place d’une algorithmique efficace, et fait une introduction à la théorie des graphes. Les compétences acquises se situent donc au niveau de la représentation de données, de leur analyse et de la mise en place d’algorithmes.
Contenu :
Structures de données arborescentes
o    monodimensionnelles : arbres binaires, arbres AVL, classes-union etc.
o    multidimensionnelles : arbres quadtratiques (quadtrees), arbres k-d etc.
o    analyse comparative, efficacité, limites Algorithmes gloutons
o    principes, avantages et limites
o    applications Algorithmique des graphes
o    structure, propriétés, implémentations
o    pondération, arbres recouvrants
o    analyse temporelle et spatiale"
Méthodes d’enseignement;Présentiel : séances de cours magistraux, de travaux dirigés et de travaux pratiques Distanciel : une partie de l’enseignement aura lieu en ligne, à l’aide de contenus mélangeant documents, tests d’auto-évaluation et échanges, sous le tutorat des enseignants.
Langue d’enseignement;Français
Bibliographie;"A. Aho, J. Hopcroft, J. Ullman – Structures de données et algorithms, InterEditions, 1995.
Th. Cormen, Ch. Leiserson, R. Rivest – Introduction à l’algorithmique, Dunod, 1994 (réédité en 2010)
C. Froidevaux, M.C. Gaudel, M. Soria – Types de données et algorithmes, Edisciences, 1994.
D. Beauquier, J. Berstel, Ph. Chrétienne - Eléments d’algorithmique, Masson, 1992."
;
X31I030;Langage et automates
Lieu d’enseignement;Lombarderie
Niveau;Licence
Semestre;5
Responsable de l’UE;BECHET Denis PERRIN MATTHIEU
Volume horaire total;TOTAL : 46.2h Répartition : CM : 14h TD : 20h CI : 0h TP : 8h EAD : 4.2h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Langages et automates 100%
Obtention de l’UE;La note de contrôle continu peut contenir une ou plusieurs composantes pratiques et éventuellement une composante distancielle.
Programme;
Objectifs (résultats d'apprentissage);"A l'issue du module, l'étudiant sera initié à
- Savoir utiliser les logiciels flex et bison Il maîtrisera les concepts:
- Savoir raisonner sur les langages formels
- Savoir écrire une expression rationnelle
- Savoir résoudre un système d'équations linéaires droites
- Savoir si un mot correspond à une expression rationnelle
- Savoir déterminer la classe d'une grammaire formelle dans la hiérarchie de Chomsky
- Savoir si un mot est engendré par une grammaire rationnelle, algébrique ou contextuelle
- Connaître les propriétés d'un automate fini
- Savoir rendre déterministe un automate fini
- Savoir minimaliser le nombre d'états d'un automate fini déterministe
- Savoir si un mot est accepté par un automate fini
- Savoir transformer une grammaire rationnelle en une expression rationnelle ou en un automate fini et inversement"
Contenu;"Automates finis et analyse lexicale : langages et opérations, langages rationnels, automates finis, automates finis déterministes. Équivalence des expressions rationnelles et des automates finis. Analyse lexicale, expressions rationnelles étendues.
Grammaires formelles : classification, grammaires hors contexte, arbre de dérivation, ambiguïté, formes normales. Automates à pile et transducteurs finis.
Analyse syntaxique : analyse ascendante et descendante avec rebroussement, méthodes tabulaires, analyse sans rebroussement : grammaires de précédence, grammaires LL(k).
Travaux Pratiques : Lex et Yacc"
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
X31T060;Ouverture professionnelle - Informatique
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;PERCEVAUX MARIE-CHRISTINE
Volume horaire total;TOTAL : 17.6h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 1.6h
Place de l’enseignement;
UE pré-requise(s);L’UE 'Découverte et connaissance du monde du travail - Communication professionnelle' est en continuité de l’UE   'Projet Professionnel de l'Etudiant', en permettant à l’étudiant de mettre à jour ses compétences et de poursuivre sa réflexion sur son projet professionnel, initiées en Licence 2. Les étudiants arrivant d’autres facultés et n’ayant pas bénéficié d’un enseignement en lien avec la construction de leur projet professionnel auront un accompagnement spécifique pour avoir tous les éléments nécessaires à la réflexion.
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Ouverture professionnelle - Informatique 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);"Projet Professionnel : recherche de stage et poursuite d’études A l’issue de cette UE, l’étudiant saura :
- optimiser sa méthodologie de recherche de stage
- décrypter une offre de stage
- réactualiser ses compétences et remettre son CV à jour
- le fonctionnement des réseaux sociaux professionnels et créer son profil
- utiliser les services de l’université pour ses recherches de stage ou d’emploi. Découverte et connaissance du monde du travail
A l’issue de cette UE, l’étudiant aura :
- travaillé en équipe sur les différentes structures et organisations possibles rencontrées dans le monde du travail (statut juridique, services, organigramme, taille, valeurs, partenaires..)
- étudié une structure en particulier, en lien avec son projet professionnel
- par le biais d’un jeu de rôle, pris conscience du rôle des différents services (RH, marketing, commercial,…) d’une structure dans le développement et le déploiement d’un projet
- connaissance de ses droits et devoirs en tant que stagiaire et aura travaillé sur sa manière de s’intégrer et de s’adapter dans un nouveau milieu professionnel
- connaissance de ce qu’est l’entreprenariat et des dispositifs en lien à l’université Communication
Au terme de l’UE ‘Ouverture Professionnelle’, l’étudiant connaitra :
- les principes fondamentaux de la communication systémique et interpersonnelle, utiles pour communiquer en milieu professionnel
- la manière d'exprimer un message clair, précis, bienveillant, à la reformulation et à l’expression d’un feedback"
Contenu;"L’enseignement de cette UE est réparti comme suit :
1. Des séances de TD permettant de travailler en mode projet sur la recherche de stage et la communication orale : méthodologie, CV, lettre de motivation, utilisation du réseau professionnel LinkedIn, de l’outil CareerCenter et certains réseaux pour les scientifiques tels que Researchgate.
2. Des séances de TD permettant de vivre et de comprendre le fonctionnement d’une structure professionnelle. Ces séances permettront également à l’étudiant de réfléchir à son positionnement en tant que stagiaire dans un environnement professionnel.
2h40 : TD 1 : Méthodologie de recherche de stage : réflexion sur les objectifs pour ce stage, construction des différentes étapes de la recherche, décryptage d’une offre, mise à jour des compétences, du CV et personnalisation de la lettre de motivation.
1h20 : TD 2 : Outils de recherche de stage : CareerCenter, LinkedIn : présentation et temps pour remplir son profil.
2h40 : TD 3 : Communication orale : les fondamentaux de la communication, le non verbal, comment construire une présentation professionnelle pour se présenter à un recruteur (pitch), adopter une posture professionnelle.
4h00 : TD 4 : Simulations d’entretiens en sous-groupes autonomes et présentation du pitch
(évaluation).
4h00 : TD 5 : Les différentes structures et organisations possibles dans le monde du travail / Droits et devoirs du stagiaire.
1h20 : TD 6 : L’après licence : en sous-groupes, argumentation de ses perspectives post-licence.
Enseignement en distanciel
Avant certaines séances de TD (TD1, TD2, TD3, TD5), un enseignement en distanciel sera proposé aux étudiants :
Outils de mise en réflexion sur les objectifs du stage recherchés ;
Documents à lire de façon à pouvoir les mettre en œuvre autour de la méthodologie de recherche de stage ;
Power points à visionner sur les outils Career Center et LinkedIn ;
Vidéos à visionner sur les différentes organisations et types de métiers exercés dans une organisation ;
Quizz à réaliser sur les droits et devoirs du stagiaire."
Méthodes d’enseignement;"• Travaux en groupe de TD et en sous-groupe (par 3 ou par 6).
• Mise à disposition d’outils de réflexion personnelle et de sources d’information.
• Pédagogie inversée : réflexion individuelle à partir de supports. de réflexion et restitution en groupe, présentations orales faites par les étudiants.
Autoévaluation et prise de conscience des apprentissages réalisés."
Langue d’enseignement;Français
Bibliographie;"Site CareerCenter : http://univ-nantes.jobteaser.com/fr/backend Lien LinkedIn : https://fr.linkedin.com/
Lien ResearchGate : https://www.researchgate.net/"
;
XLG5TU200;Stage libre
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;
Volume horaire total;TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;"L3 Chimie : Chimie / mineure Chimie Avancée, L3 Chimie : Chimie Biologie,L3 Chimie : Chimie- Physique DOUBLE DIPLOME,L3 Chimie : Chimie /mineure Enseigner à l'Ecole Primaire EEP,L3 Physique : Mécanique - CMI Ingé. Calcul Méca. _ CMI-ICM,L3 Physique : Physique - CMI Ingé. Nuclé. et Appli. _ CMI-INA,L3 Maths : Maths / mineure CMI Ingéniérie Statistique _ CMI-IS,L3 Info
: Maths Info / mineure CMI OPTIM,L3 SPI : Electronique, Energie Electrique, Automatique _ EEA,2025 L3 SPI Génie Civil,L3 Info : Informatique / mineure Informatique,L3 Maths : Maths Economie,L3 Info : Maths Info / mineure Maths Info,L3 Maths : Maths / mineure Maths,L3 Info : MIAGE - CLASSIQUE,L3 Physique : Physique,L3 Physique : Physique / mineure Enseigner à l'Ecole Primaire _ EEP,L3 Physique : Physique-Chimie DOUBLE DIPLOME,L3 Physique : Mécanique,L3 SV : Advanced Biology Training ABT,L3 SV : Biologie Cellulaire et Moléculaire BCM,L3 SV : Biologie Cellulaire et Physiologie Animale BCPA,L3 SV : Sciences du Végétal et de l'Aliment SVA / mineure SVA,L3 SV : Sciences du Végétal et de l'Aliment SVA / mineure Enseigner à l'Ecole Primaire _ EEP,L3 SV : Biologie Cellulaire Véto Agro BCVA,L3 SVT : Biologie Écologie _BE,L3 SVT : Biologie, Géologie, Environnement BGE / mineure Enseigner à l'Ecole Primaire _ EEP,L3 SVT : Biologie, Géologie, Environnement BGE / mineure Enseigner les SVT,L3 SVT : Biologie, Géologie, Environnement BGE / mineure Environnement,L3 SVT : Sciences de la Terre et de l'Univers STU,L3 SV : Sciences du Végétal et de l'Aliment LAS3,L3 SVT : Biologie Écologie _BE LAS3, L3 Chimie : Chimie / mineure Chimie Avancée LAS3,L3 Physique : Physique LAS3,L3 Maths : Maths / mineure Maths LAS3,L3 Info : Informatique / mineure Informatique LAS3,2025 L3 SPI EEA,2025 L3 SVT Biologie Ecologie,2025 L3 SVT Enseigner les SVT,2025 L3 SVT Géosciences,2025 L3 SVT LAS 3 Biologie Ecologie,2025 L3 SVT Sciences de l'environnement,2025 L3 INFO Informatique,2025 L3 INFO Informatique mathématiques,2025 L3 INFO option santé (L.AS 3),2025 L3SV : Biologie Cellulaire et Physiologie Animale,2025 L3SV : Sciences du Végétal et de l'Aliment,2025 L3SV : Biologie Vétérinaire Agronomie,2025 L3SV : Biologie Cellulaire et Moléculaire,2025 L3SV:  Advanced Biology Training,2025 L3SV : Licence SV Accès Santé - LAS3 - ,2025 L3 INFO CMI OPT/IM,2025 L3SV ABT S5 100% Anglais,2025 L3 MIASHS - parcours economie,2025 L3 Mathématiques,2025 L3 Maths L.AS Maths,2025 L3 MATHS CMI IS,2025 L3 Physique Chimie,2025 L3 Chimie,2025 L3 Chimie option Santé,2025 L3 Chimie-Biologie,2025 L3 Physique - CMI INA,2025 L3 Physique,2025 L3 Mécanique - CMI ICM,2025 L3 Mécanique,2025 L3 Physique OPTION SANTE,L3 SPI Génie Civil,L3 SPI Génie Civil option SANTE,2025 L3 SPI Génie Civil option SANTE,2025 L3 SPI EEA option Santé"
Evaluation;
Pondération pour chaque matière;Stage libre 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);
Contenu;
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
X32A060;Anglais Professionnel Informatique
Lieu d’enseignement;UFR Sciences
Niveau;Licence
Semestre;6
Responsable de l’UE;
Volume horaire total;TOTAL : 17.6h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 1.6h
Place de l’enseignement;
UE pré-requise(s);Anglais 3 et 4, ou équivalent.
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Anglais Professionnel Informatique 100%
Obtention de l’UE;"The module will be assessed through
• an in-class test (listening comprehension)
• your project work"
Programme;
Objectifs (résultats d'apprentissage);"À l’issue de cet enseignement, l’étudiant-e sera capable de :
1. réaliser un rapport dans le cadre d’un projet de groupe impliquant une mise en situation dans un contexte professionnel simulé
2. rédiger un texte dans un anglais clair et grammaticalement approprié au contexte, dans le cadre d’un projet de groupe
3. faire une présentation orale s’appuyant sur le travail de groupe préparé dans le rapport écrit, en s’exprimant dans un anglais clair et phonologiquement approprié et en communiquant avec un  degré d’aisance et de spontanéité qui rende possible une interaction normale avec un locuteur natif, sans recours excessif aux notes
4. utiliser des outils de présentation adaptés à la situation de communication
5. répondre à des questions de compréhension sur des documents audio authentiques"
Contenu;"1. Développement du vocabulaire utilisé en anglais professionnel (vocabulaire susceptible d’être utilisé dans les tests TOEIC)
2. Discussion des spécificités des CV aux États-Unis et en Grande-Bretagne
3. Contenu d’une lettre de motivation
4. Déroulement d’un entretien d’embauche
5. Vocabulaire utilisé lors des communications téléphoniques
6. Pratique de l’oral en contexte
7. Sensibilisation au système phonologique de l’anglais pour améliorer la prise de parole des étudiant-e-s"
Méthodes d’enseignement;Mixte
Langue d’enseignement;Anglais
Bibliographie;Aucun ouvrage obligatoire
;
X32M070;Inférence statistique
Lieu d’enseignement;Faculté des Sciences et Techniques
Niveau;Licence
Semestre;6
Responsable de l’UE;PATUREL ERIC
Volume horaire total;TOTAL : 44h Répartition : CM : 16h TD : 24h CI : 0h TP : 0h EAD : 4h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Maths : Maths Economie,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM
Evaluation;
Pondération pour chaque matière;Inférence statistique 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);"Au terme de cette unité d'enseignement, l'étudiant devra, en matière d'estimateur, d'intervalle de confiance et de tests statistiques :
•
Reconnaître le modèle statistique sous-jacent à une problématique qui s'y prête. Reconnaître si ce modèle est exponentiel.
•
Calculer un estimateur pour un paramètre donné du modèle à l'aide de la méthode (moments ou maximum de vraisemblance) qui s'y prête le mieux. Déterminer les caractéristiques de cet estimateur et discuter son efficacité.
•
Déterminer un intervalle de confiance (asymptotique ou non) pour un paramètre donné du modèle, soit à l'aide d'une fonction pivotale en utilisant les connaissances acquises sur les lois classiques en probabilité, soit en reconnaissant la loi limite d'un estimateur à l'aide par exemple du TCL.
•
Construire un test statistique sur les paramètres du modèles et appliquer ce test numériquement."
Contenu;"Rappels et compléments de probabilités :
•
Description de la loi Normale, de la loi Gamma, de la loi de Fisher, de la loi de Student, de la loi du Chi-deux.
•
Théorème de Fisher (admis) pour la moyenne empirique et la variance empirique modifiée d'un échantillon Gaussien.
Estimation ponctuelle :
•
modèle statistique, définition d'un estimateur, de son biais, de son erreur en moyenne quadratique.
•
Estimateur des moments, exemples de calcul de l'estimateur des moments.
•
Estimateur du maximum de vraisemblance, méthode de calcul et exemples.
•
Comparaison sur certains exemples de l'estimateurs des moments et de l'estimateur du maximum de vraisemblance.
•
Modèles exponentiels : définitions et exemples. Efficacité d'un estimateur :
•
définition et calcul de l'information de Fisher
•
borne de Cramer Rao, définition d'un estimateur efficace, asymptotiquement efficace. Exemples.
Estimation par intervalle de confiance :
•
définition, critère d'optimalité.
•
Fonction pivotale, asymptotiquement pivotale.
•
Construction à l'aide de la méthode du pivot d'intervalles de confiance et d'intervalles de confiance asymptotiques, exemples.
Tests statistiques :
•
Hypothèses nulle et alternative, règle de décision.
•
Erreurs et risques de première et seconde espèce.
•
niveau d'un test, p-valeur.
•
Tests asymptotiques.
•
Construction d'un test statistique (asymptotique ou pas) à l'aide d'un estimateur.
•
Exemples de tests : sur les paramètres d'une loi normale, de comparaison des moyennes, d'indépendance, du Chi-deux."
;
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
X32M060;Optimisation
Lieu d’enseignement;Faculté des Sciences et Techniques
Niveau;Licence
Semestre;6
Responsable de l’UE;PETIT ROBERT
Volume horaire total;TOTAL : 44h Répartition : CM : 16h TD : 24h CI : 0h TP : 0h EAD : 4h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Maths : Maths Economie,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM
Evaluation;
Pondération pour chaque matière;Optimisation 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);"Au terme de cette unité d'enseignement, l'étudiant devra :
- analyser l'existence d'optima (compacité, coercivité)
- définir le Lagrangien d'un problème avec contraintes
- établir les conditions nécessaires du premier ordre
- analyser les conditions du second ordre pour un programme sans contraintes
- déterminer la convexité d'ensembles et de fonctions
- résoudre des programmes convexes"
Contenu;"•
Rappel d'analyse vectorielle
•
Programmes avec contraintes
• Lagrangien
•
Conditions KKT du premier ordre
•
Conditions du deuxième ordre (matrices bordantes)
•
Programmes dépendant d'un paramètre, théorème de l'enveloppe
•
Régularité des fonctions convexes
•
Programmation convexe, condition KKT
•
Fonctions quasi-convexes
•
Optima de Paretto"
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
X32I020;Programmation fonctionnelle
Lieu d’enseignement;Lombarderie
Niveau;Licence
Semestre;6
Responsable de l’UE;TRUCHET CHARLOTTE
Volume horaire total;TOTAL : 46.2h Répartition : CM : 10h TD : 20h CI : 0h TP : 12h EAD : 4.2h
Place de l’enseignement;
UE pré-requise(s);"• Algorithmique et structures de données 3 (913 17 LG 5 INF UE 1163)
• Etude des algorithmes (913 17 LG 5 INF UE 820)
• Langage et automates (913 17 LG 5 INF UE 1165)"
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Programmation fonctionnelle 100%
Obtention de l’UE;La note de contrôle continu peut contenir une ou plusieurs composantes pratiques et éventuellement une composante distancielle.
Programme;
Objectifs (résultats d'apprentissage);"A l’issue de cette UE, l’étudiant saura :
•
implémenter des algorithmes, y compris de traitement de structures de données linéaires, associatives et arborescentes, selon le paradigme fonctionnel (Application) ;
•
concevoir et employer des fonctions d’ordre supérieure (Application) ;
•
employer la programmation par filtrage de motifs pour les traitements symboliques (Application) ;
• expliquer et savoir simuler le mécanisme d’inférence de type (Compréhension) ;"
